iteration: max(£G,|v-V(s)|)
1: 10.000000
2: 9.000000
3: 8.100000
4: 7.290000
5: 6.561000
6: 5.904900
7: 5.314410
8: 4.782969
9: 4.304672
10: 3.874205
11: 3.486784
12: 3.138106
13: 2.824295
14: 2.541866
15: 2.287679
16: 2.058911
17: 1.853020
18: 1.667718
19: 1.500946
20: 1.350852
21: 1.215767
22: 1.094190
23: 0.984771
24: 0.886294
25: 0.797664
26: 0.717898
27: 0.646108
28: 0.581497
29: 0.523348
30: 0.471013
31: 0.423912
32: 0.381520
33: 0.343368
34: 0.309032
35: 0.278128
36: 0.250316
37: 0.225284
38: 0.202756
39: 0.182480
40: 0.164232
41: 0.147809
42: 0.133028
43: 0.119725
44: 0.107753
45: 0.096977
46: 0.087280
47: 0.078552
48: 0.070697
49: 0.063627
50: 0.057264
51: 0.051538
52: 0.046384
53: 0.041746
54: 0.037571
55: 0.033814
56: 0.030433
57: 0.027389
58: 0.024650
59: 0.022185
60: 0.019967
61: 0.017970
62: 0.016173
63: 0.014556
64: 0.013100
65: 0.011790
66: 0.010611
67: 0.009550
68: 0.008595
69: 0.007736
70: 0.006962
71: 0.006266
72: 0.005639
73: 0.005075
74: 0.004568
75: 0.004111
76: 0.003700
77: 0.003330
78: 0.002997
79: 0.002697
80: 0.002427
81: 0.002185
82: 0.001966
83: 0.001770
84: 0.001593
85: 0.001433
86: 0.001290
87: 0.001161
88: 0.001045
89: 0.000940
